node_type_id model_type params_file level_of_detail morphology_file rotation_angle_zaxis set_params_function
10002 iaf_psc_alpha 472912177_fit.json biophysical Pvalb-IRES-Cre_Ai14_IVSCC_-176847.04.02.01_470522102_m.swc -2.539551891 Biophys1
10001 iaf_psc_alpha 472363762_fit.json biophysical Scnn1a-Tg3-Cre_Ai14_IVSCC_-177300.01.02.01_473845048_m.swc -3.646878266 Biophys1
90002 iaf_psc_alpha IntFire1_inh_1.json intfire NA NA IntFire1
90001 iaf_psc_alpha IntFire1_exc_1.json intfire NA NA IntFire1
