node_id node_type_id ei pop_name
0 1001 e input_filter
1 1001 e input_filter
2 1001 e input_filter
3 1001 e input_filter
4 1001 e input_filter
5 1001 e input_filter
6 1001 e input_filter
7 1001 e input_filter
8 1001 e input_filter
9 1001 e input_filter
10 1001 e input_filter
11 1001 e input_filter
12 1001 e input_filter
13 1001 e input_filter
14 1001 e input_filter
15 1001 e input_filter
16 1001 e input_filter
17 1001 e input_filter
18 1001 e input_filter
19 1001 e input_filter
20 1001 e input_filter
21 1001 e input_filter
22 1001 e input_filter
23 1001 e input_filter
24 1001 e input_filter
